indic_is,ind_type,unit,geo\time	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 
I_IUMD,I5_8,PC_IND,EU28	55.35 	62.85 	72.13 	76.44 	78.10 	83.07 	86.08 	89.73 
I_IUMD,I5_8,PC_IND,FI	66.78 	70.13 	80.06 	82.74 	86.21 	88.10 	87.95 	: 
I_IUMD,I5_8,PC_IND,FR	63.56 	72.35 	78.36 	79.71 	79.27 b	84.65 	88.00 	91.96 
I_IUMD,I5_8,PC_IND,HR	59.97 	60.43 	60.89 	69.34 	78.78 	61.95 	79.56 	90.80 
I_IUMD,I5_8,PC_IND,HU	31.70 	45.74 	62.85 	73.76 	76.52 	81.96 	: u	88.72 
I_IUMD,I5_8,PC_IND,IE	69.90 	77.74 	84.63 	87.55 	84.84 	89.27 	90.15 	95.81 
I_IUMD,I5_8,PC_IND,IS	70.01 	75.21 	79.10 	: 	: 	92.05 	90.45 	96.65 
I_IUMD,I5_8,PC_IND,IT	32.77 	31.36 	39.69 	41.21 	44.21 	46.21 	56.48 	65.93 
I_IUMD,I5_8,PC_IND,LT	26.63 	39.30 	47.47 	55.75 	66.76 	77.10 	80.56 	88.21 
I_IUMD,I5_8,PC_IND,LU	71.69 	71.81 	79.42 	83.57 	82.48 	87.41 	92.99 b	94.23 
I_IUMD,I5_8,PC_IND,LV	36.94 	44.95 	50.72 	57.81 	65.76 b	74.64 	75.74 b	82.73 
I_IUMD,I5_8,PC_IND,ME	56.95 	: 	: 	: 	: 	89.06 	85.20 	90.34 
I_IUMD,I5_8,PC_IND,MK	45.63 	52.51 	64.53 	78.21 	81.36 	86.03 	81.77 	91.27 
I_IUMD,I5_8,PC_IND,MT	74.32 	78.81 	83.09 	90.59 	87.39 	95.26 	93.47 	93.24 
I_IUMD,I5_8,PC_IND,NL	65.59 	77.16 	84.16 	86.74 	89.55 	95.08 	94.27 	95.33 
I_IUMD,I5_8,PC_IND,NO	84.53 	88.86 	86.33 	88.77 	87.77 	92.21 	92.65 	96.21 
I_IUMD,I5_8,PC_IND,PL	45.82 	56.58 	62.16 	72.07 	51.10 	61.26 	70.77 	79.79 
I_IUMD,I5_8,PC_IND,PT	44.44 	47.83 	66.25 	78.27 	80.88 	88.78 	87.36 	91.89 
I_IUMD,I5_8,PC_IND,RO	25.62 	43.46 	57.57 b	74.83 	79.20 	85.35 	87.96 	92.59 
I_IUMD,I5_8,PC_IND,RS	: 	: 	: 	55.49 	: 	72.99 	74.80 	82.40 
I_IUMD,I5_8,PC_IND,SE	79.08 	78.13 	86.20 	86.51 	87.07 b	91.79 	93.19 	96.64 
I_IUMD,I5_8,PC_IND,SI	50.94 	65.20 	72.47 	74.16 	76.59 	84.06 	86.00 	93.98 
I_IUMD,I5_8,PC_IND,SK	55.53 	59.90 	69.21 	79.33 	76.75 	84.23 	81.43 	89.31 
I_IUMD,I5_8,PC_IND,TR	40.61 	56.84 	71.08 	80.88 	90.53 	94.65 	92.83 	96.95 
I_IUMD,I5_8,PC_IND,UK	76.65 	77.78 	84.03 	87.28 	89.74 	91.21 	93.93 	95.59 b
I_IUMD,I5_8,PC_IND,XK	: 	: 	: 	: 	: 	91.75 	88.84 	91.95 
I_IUMD,IND_TOTAL,PC_IND,AL	: 	: 	: 	: 	: 	: 	54.28 	68.01 
I_IUMD,IND_TOTAL,PC_IND,AT	44.96 	50.75 	56.81 	63.86 	64.73 	73.98 	73.76 	81.80 
I_IUMD,IND_TOTAL,PC_IND,BA	: 	: 	: 	: 	: 	: 	60.32 	56.75 
I_IUMD,IND_TOTAL,PC_IND,BE	43.74 	47.19 	58.83 	68.60 	70.78 	75.07 	76.38 	85.58 
I_IUMD,IND_TOTAL,PC_IND,BG	12.52 	19.74 	27.44 	38.02 	44.70 	55.79 	56.93 	64.41 
I_IUMD,IND_TOTAL,PC_IND,CH	: 	: 	59.98 	: 	: 	68.97 b	: 	88.70 
I_IUMD,IND_TOTAL,PC_IND,CY	24.54 	29.28 	43.14 	58.81 	62.24 	70.13 	74.54 	79.47 
I_IUMD,IND_TOTAL,PC_IND,CZ	: u	28.70 	37.29 	44.56 	: u	59.64 	66.14 	72.53 
I_IUMD,IND_TOTAL,PC_IND,DE	31.09 	43.91 	55.64 	63.04 	67.89 	75.42 	79.92 	76.96 
I_IUMD,IND_TOTAL,PC_IND,DK	61.43 	65.66 	74.97 	78.28 	81.87 	83.42 	88.03 	91.83 
I_IUMD,IND_TOTAL,PC_IND,EA	33.84 	42.02 	50.90 	55.91 	59.01 	65.31 	69.48 	74.28 
I_IUMD,IND_TOTAL,PC_IND,EE	36.95 	46.48 	57.51 b	61.19 	61.87 	67.86 	70.62 	77.98 
I_IUMD,IND_TOTAL,PC_IND,EL	22.50 	26.75 	36.92 	44.38 	47.06 	52.60 	55.28 	63.14 
I_IUMD,IND_TOTAL,PC_IND,ES	38.37 	50.27 	62.26 	66.76 	72.13 	77.59 	80.48 	86.77 
